GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Zoo04Lab,edu.nwmissouri.zoo04lab,CowGroup,3,69,0,0,1,23,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,Buffalo,43,36,0,0,15,13,2,7,2,7
Zoo04Lab,edu.nwmissouri.zoo04lab,DaysofWeek,45,0,0,0,8,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,MuleDeer,56,28,0,0,19,10,3,5,3,5
Zoo04Lab,edu.nwmissouri.zoo04lab,NumberParity,0,15,0,0,0,3,0,1,0,1
Zoo04Lab,edu.nwmissouri.zoo04lab,ProngHorn,26,68,0,0,9,16,1,7,1,7
Zoo04Lab,edu.nwmissouri.zoo04lab,SunBear,47,25,0,0,11,7,2,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,Crocodile,48,20,0,0,11,6,3,3,3,3
Zoo04Lab,edu.nwmissouri.zoo04lab,Gerenuk,74,25,2,0,18,7,5,4,4,4
Zoo04Lab,edu.nwmissouri.zoo04lab,ZooBuildCodeIssues,179,0,0,0,44,0,19,0,19,0
Zoo04Lab,edu.nwmissouri.zoo04lab,AspGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,YukonMooseGroup,54,0,0,0,16,0,4,0,4,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Kangaroo.Calender,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,WalrusGroup.Donate,0,27,0,0,0,5,0,1,0,1
Zoo04Lab,edu.nwmissouri.zoo04lab,MightyLion,43,25,0,0,10,7,2,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,HippopotamusGroup,3,49,0,0,1,14,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,LigerGroup,3,53,0,0,1,16,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,ArvicolinaeGroup.Animal,0,21,0,0,0,4,0,1,0,1
Zoo04Lab,edu.nwmissouri.zoo04lab,HarpSealGroup.Animals,0,27,0,0,0,5,0,1,0,1
Zoo04Lab,edu.nwmissouri.zoo04lab,Brachiosaurus,59,17,0,0,16,7,3,4,3,4
Zoo04Lab,edu.nwmissouri.zoo04lab,AardvarkGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,ElephantBirdGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,ShoebillGroup,3,56,0,2,1,14,1,3,1,2
Zoo04Lab,edu.nwmissouri.zoo04lab,KangarooGroup,31,34,2,0,11,7,2,2,1,2
Zoo04Lab,edu.nwmissouri.zoo04lab,HarpSealGroup,17,76,4,1,7,25,5,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,CongoLionGroup,61,0,0,0,18,0,4,0,4,0
Zoo04Lab,edu.nwmissouri.zoo04lab,DeerGroup,54,0,0,0,16,0,4,0,4,0
Zoo04Lab,edu.nwmissouri.zoo04lab,PolarBearGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,ColorsOfLife,33,0,0,0,6,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,RelayHorseTracks,39,0,0,0,7,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,YukonMoose,67,0,0,0,23,0,8,0,8,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Goat,68,37,2,0,15,13,3,7,2,7
Zoo04Lab,edu.nwmissouri.zoo04lab,FloppyGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,GlyptodonGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,LionessGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,RelayHorseGroup,3,53,0,0,1,16,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,PumaGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,StringRay.Times,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,CongoLion,61,0,0,0,23,0,8,0,8,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Lion,26,60,0,0,10,14,1,6,1,6
Zoo04Lab,edu.nwmissouri.zoo04lab,BengalTigerGroup,54,0,0,0,16,0,4,0,4,0
Zoo04Lab,edu.nwmissouri.zoo04lab,RoaringLion.Weeks,45,0,0,0,8,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,ProngHornGroup,3,66,0,2,1,17,1,3,1,2
Zoo04Lab,edu.nwmissouri.zoo04lab,ElephantBird.status,27,0,0,0,5,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Kangaroov.Food,33,0,0,0,6,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Goat.Gender,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Unicorn,17,36,0,0,5,10,1,5,1,5
Zoo04Lab,edu.nwmissouri.zoo04lab,RoaringLionGroup,54,0,0,0,16,0,4,0,4,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Panthera.Gender,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Shoebill.Seasons,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,BlackPanther,55,25,0,0,14,7,2,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,FrogGroup,55,0,0,0,18,0,4,0,4,0
Zoo04Lab,edu.nwmissouri.zoo04lab,StringRayGroup,3,56,0,2,1,14,1,3,1,2
Zoo04Lab,edu.nwmissouri.zoo04lab,Griffin,111,77,7,5,31,24,6,12,2,10
Zoo04Lab,edu.nwmissouri.zoo04lab,SquirrelGroup,54,0,0,0,16,0,4,0,4,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Asp,0,20,0,0,0,6,0,3,0,3
Zoo04Lab,edu.nwmissouri.zoo04lab,Cow,35,57,4,2,13,20,6,8,2,8
Zoo04Lab,edu.nwmissouri.zoo04lab,Elephant,47,25,0,0,11,7,2,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,GiraffeGroup,3,56,0,2,1,14,1,3,1,2
Zoo04Lab,edu.nwmissouri.zoo04lab,Bearcat,28,34,0,0,11,9,2,5,2,5
Zoo04Lab,edu.nwmissouri.zoo04lab,Cow.EnumDirections,0,27,0,0,0,2,0,1,0,1
Zoo04Lab,edu.nwmissouri.zoo04lab,SiberianTiger.car,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,BlackPanther.BIRD,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Brachiosaurus.vehicles,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Dinosaur.level,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,AnimalLegs,42,0,0,0,9,0,3,0,3,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Colors,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Stag,45,25,0,0,11,11,2,6,2,6
Zoo04Lab,edu.nwmissouri.zoo04lab,Arvicolinae,14,52,0,0,6,14,1,6,1,6
Zoo04Lab,edu.nwmissouri.zoo04lab,BearcatGroup,83,0,2,0,21,0,4,0,3,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Koala,36,20,0,0,13,6,3,3,3,3
Zoo04Lab,edu.nwmissouri.zoo04lab,Panthera,39,48,0,0,14,12,3,5,3,5
Zoo04Lab,edu.nwmissouri.zoo04lab,CatGroup,3,58,0,0,1,18,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,Floppy,66,33,2,0,14,11,3,6,2,6
Zoo04Lab,edu.nwmissouri.zoo04lab,Puma,52,25,0,0,12,7,3,4,3,4
Zoo04Lab,edu.nwmissouri.zoo04lab,KangaroovGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,ZooBuildSwitch,317,0,22,0,71,0,17,0,6,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Dinosaur,61,0,0,0,19,0,6,0,6,0
Zoo04Lab,edu.nwmissouri.zoo04lab,YukonMoose.MONTH,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,BlackJaguarGroup,54,0,0,0,16,0,4,0,4,0
Zoo04Lab,edu.nwmissouri.zoo04lab,AnimalGender,0,27,0,0,0,5,0,1,0,1
Zoo04Lab,edu.nwmissouri.zoo04lab,MightyLion.Months,75,0,0,0,13,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Squirrel,64,40,4,0,24,19,5,10,3,10
Zoo04Lab,edu.nwmissouri.zoo04lab,Nameofmonths,33,0,0,0,6,0,1,0,1,0
